"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $205.88/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","PrivateNote"
"0x83d0b1fa8afb973801d51f99aedf9891e5142a46f8ab76f573b9417a0661414a","7059484","1547387837","1/13/2019 1:57:17 PM","0x1805d71d3da1ba5c545d928f78af24f697c961b1","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","4.87739999","0","1004.1591099412","0.00126","0.2594088","116.56","","",""
"0x9f3a4bdd16a5ae4e9d47b8cf61bae6fc9d491d349d6193a8e29c78cffa15d318","7059484","1547387837","1/13/2019 1:57:17 PM","0x1dd5e76b56522eb9382cd7a5cacc405075200c61","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","4.71283","0","970.2774404","0.00126","0.2594088","116.56","","",""
"0xa365da6715f4912060acc9f027992d634bcedef931eedd11936227ee3c8e452f","7059485","1547387871","1/13/2019 1:57:51 PM","0x85b38f1ac4167c74f0f9dce017e9cfa66928d997","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","4.54157849","0","935.0201795212","0.00126","0.2594088","116.56","","",""
"0x9c0942663fa3a2ff2c45205d87a031aeb7932b22e5d0b984d04d83cfd2a42f7d","7059486","1547387892","1/13/2019 1:58:12 PM","0x01d05b4ea1c5612598c051e98b98da50c9ae36b9","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","4.392385685","0","904.3043648278","0.00126","0.2594088","116.56","","",""
"0x3f2c96f5eb09aea221b2f31c4f5a4edc52cb7a0bff11e528b41813ecc21421e9","7059488","1547387909","1/13/2019 1:58:29 PM","0x581faa9173871ac0993b4bf5481e870cde7b5d53","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","4.086189049999999968","0","841.264601614","0.00126","0.2594088","116.56","","",""
"0x6e1260f513746c5d0aca644aa049698cef51c1175fe980e388e686f1df181135","7059504","1547388099","1/13/2019 2:01:39 PM","0x304fbf9c7b7f4b0db2961481684c0c461ff0d750","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","3.7914","0","780.573432","0.00126","0.2594088","116.56","","",""
"0x64fa8b5f64ac6b75caea6207efdce8de3f008223f1297ab1fd7ad50bf3174004","7059504","1547388099","1/13/2019 2:01:39 PM","0xe1b3b7a4ee38e3044414762aa7450c1b1b939d3b","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","4.05501748","0","834.8469987824","0.00126","0.2594088","116.56","","",""
"0x1950e97f49619c6ea1fdbc31c5462043f3a2955c5d0ed4b0677439c42a27ff74","7059504","1547388099","1/13/2019 2:01:39 PM","0x788db1b23e064657da983ddd40c36316ebd4efcb","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","3.376557","0","695.16555516","0.00126","0.2594088","116.56","","",""
"0xfe5fece92210b0fc740fe8b1327d67f130512b18648a0368c05cbbf733354004","7059506","1547388132","1/13/2019 2:02:12 PM","0x29814c246c6328a2a4624ff6cce6f8d0b4c8c7aa","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","2.9874","0","615.045912","0.00126","0.2594088","116.56","","",""
"0xa6d876f6773fac5cda0dc74e346da14048c689e4606fab2d548a1d6129a6cade","7059507","1547388164","1/13/2019 2:02:44 PM","0x518826e9e01a81496cc29c01e72e23944995c406","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","1.9874","0","409.165912","0.00126","0.2594088","116.56","","",""
